FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110617;0100;;0,214583;;
110617;0200;;0,20725;;
110617;0300;;0,2295;;
110617;0400;;0,22925;;
110617;0500;;0,1705;;
110617;0600;;0,152333;;
110617;0700;;0,199167;;
110617;0800;;0,25725;;
110617;0900;;0,2975;;
110617;1000;;0,287083;;
110617;1100;;0,505583;;
110617;1200;;0,440167;;
110617;1300;;0,444083;;
110617;1400;;0,366333;;
110617;1500;;0,284333;;
110617;1600;;0,5005;;
110617;1700;;0,364167;;
110617;1800;;0,31825;;
110617;1900;;0,319417;;
110617;2000;;0,514999;;
110617;2100;;0,455833;;
110617;2200;;0,285417;;
110617;2300;;0,198167;;
110618;0000;;0,25075;;
110618;0100;;0,22075;;
110618;0200;;0,163083;;
110618;0300;;0,153;;
110618;0400;;0,176583;;
110618;0500;;0,253833;;
110618;0600;;0,142667;;
110618;0700;;0,179583;;
110618;0800;;0,19775;;
110618;0900;;0,274667;;
110618;1000;;0,284583;;
110618;1100;;0,292;;
110618;1200;;0,479083;;
110618;1300;;0,510667;;
110618;1400;;0,560166;;
110618;1500;;0,44925;;
110618;1600;;0,462417;;
110618;1700;;0,544083;;
110618;1800;;0,526833;;
110618;1900;;0,520833;;
110618;2000;;0,537499;;
110618;2100;;0,386583;;
110618;2200;;0,414167;;
110618;2300;;0,35875;;
110619;0000;;0,28025;;
110619;0100;;0,222333;;
110619;0200;;0,24025;;
110619;0300;;0,179083;;
110619;0400;;0,204083;;
110619;0500;;0,186333;;
110619;0600;;0,146833;;
110619;0700;;0,188417;;
110619;0800;;0,262333;;
110619;0900;;0,289;;
110619;1000;;0,405417;;
110619;1100;;0,367583;;
110619;1200;;0,37;;
110619;1300;;0,404167;;
110619;1400;;0,357083;;
110619;1500;;0,355167;;
110619;1600;;0,497083;;
110619;1700;;0,464167;;
110619;1800;;0,484;;
110619;1900;;0,555416;;
110619;2000;;0,617332;;
110619;2100;;0,4985;;
110619;2200;;0,624666;;
110619;2300;;0,389583;;
110620;0000;;0,229667;;
110620;0100;;0,126583;;
110620;0200;;0,159417;;
110620;0300;;0,120583;;
110620;0400;;0,118;;
110620;0500;;0,1175;;
110620;0600;;0,120583;;
110620;0700;;0,127417;;
110620;0800;;0,29675;;
110620;0900;;0,447417;;
110620;1000;;0,3055;;
110620;1100;;0,346;;
110620;1200;;0,370083;;
110620;1300;;0,22325;;
110620;1400;;0,25375;;
110620;1500;;0,24625;;
110620;1600;;0,288083;;
110620;1700;;0,715082;;
110620;1800;;0,25325;;
110620;1900;;0,15875;;
110620;2000;;0,15025;;
110620;2100;;0,14925;;
110620;2200;;0,143333;;
110620;2300;;0,1365;;
110621;0000;;0,199583;;
110621;0100;;0,157333;;
110621;0200;;0,172167;;
110621;0300;;0,26825;;
110621;0400;;0,142833;;
110621;0500;;0,14425;;
110621;0600;;0,14875;;
110621;0700;;0,147917;;
110621;0800;;0,16825;;
110621;0900;;0,148;;
110621;1000;;0,1545;;
110621;1100;;0,146583;;
110621;1200;;0,133167;;
