FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080101;0000;;0,0924078;;
080102;0000;;0,0956012;;
080103;0000;;0,0578094;;
080104;0000;;0,0707715;;
080105;0000;;0,129264;;
080106;0000;;0,0782771;;
080107;0000;;0,0724118;;
080108;0000;;0,0378811;;
080109;0000;;0,0701118;;
080110;0000;;0;;
080111;0000;;0,0548723;;
080112;0000;;0,125761;;
080113;0000;;0,0439814;;
080114;0000;;0,0876539;;
080115;0000;;0,00371589;;
080116;0000;;0,072845;;
080117;0000;;0,0507997;;
080118;0000;;0,0395215;;
080119;0000;;0,0539716;;
080120;0000;;0,0863181;;
080121;0000;;0,0222953;;
080122;0000;;0,0518761;;
080123;0000;;0,0734807;;
080124;0000;;0,117264;;
080125;0000;;0,0875909;;
080126;0000;;0,0399353;;
080127;0000;;0,0522019;;
080128;0000;;0,0870106;;
080129;0000;;0,0841781;;
080130;0000;;0,13482;;
080131;0000;;0,0787644;;
080201;0000;;0,142712;;
080202;0000;;;;
080203;0000;;0,149975;;
080204;0000;;0,131429;;
080205;0000;;0,100614;;
080206;0000;;0,117374;;
080207;0000;;0,110957;;
080208;0000;;;;
080209;0000;;0,153606;;
080210;0000;;0,19551;;
080211;0000;;0,156947;;
080212;0000;;;;
080213;0000;;;;
080214;0000;;;;
080215;0000;;;;
080216;0000;;0,100455;;
080217;0000;;;;
080218;0000;;;;
080219;0000;;0,100455;;
080220;0000;;0,151896;;
080221;0000;;0,131848;;
080222;0000;;;;
080223;0000;;0,110381;;
080224;0000;;0,272733;;
080225;0000;;0,167899;;
080226;0000;;0,108949;;
080227;0000;;;;
080228;0000;;0,152547;;
080229;0000;;0,101432;;
080301;0000;;0,0330117;;
080302;0000;;0,0863839;;
080303;0000;;0,143617;;
080304;0000;;0,0703266;;
080305;0000;;0,0650082;;
080306;0000;;0,121573;;
080307;0000;;0,0876392;;
080308;0000;;0,0527539;;
080309;0000;;0,0468093;;
080310;0000;;0,11955;;
080311;0000;;;;
080312;0000;;0,0818774;;
080313;0000;;0,0923439;;
080314;0000;;0,131513;;
080315;0000;;0,160574;;
080316;0000;;0,101482;;
080317;0000;;0,0765921;;
080318;0000;;0,0687459;;
080319;0000;;0,100455;;
080320;0000;;0,0725143;;
080321;0000;;0,273022;;
080322;0000;;0,0749229;;
080323;0000;;0,0657145;;
080324;0000;;0,151825;;
080325;0000;;0,139619;;
080326;0000;;0,00106544;;
080327;0000;;0,0858057;;
080328;0000;;0,17131;;
080329;0000;;0,122485;;
080330;0000;;0,193817;;
080331;0000;;;;
080401;0000;;0,0810183;;
080402;0000;;0,116344;;
080403;0000;;;;
080404;0000;;0,381925;;
080405;0000;;0,285408;;
080406;0000;;0,250371;;
080407;0000;;0,254949;;
080408;0000;;0,274913;;
080409;0000;;0,197764;;
080410;0000;;0,185236;;
080411;0000;;0,198151;;
080412;0000;;0,27351;;
080413;0000;;0,206336;;
080414;0000;;0,23463;;
080415;0000;;0,203585;;
080416;0000;;0,295326;;
080417;0000;;0,241253;;
080418;0000;;0,202293;;
080419;0000;;0,250496;;
080420;0000;;0,209686;;
080421;0000;;0,115814;;
080422;0000;;0,165392;;
080423;0000;;0,231676;;
080424;0000;;0,185916;;
080425;0000;;0,215277;;
080426;0000;;0,214405;;
080427;0000;;0,176695;;
080428;0000;;0,186817;;
080429;0000;;0,182737;;
080430;0000;;0,226622;;
080501;0000;;0,327615;;
080502;0000;;0,355222;;
080503;0000;;0,403676;;
080504;0000;;0,405395;;
080505;0000;;0,289392;;
080506;0000;;0,185162;;
080507;0000;;0,286461;;
080508;0000;;0,33953;;
080509;0000;;0,384552;;
080510;0000;;0,318806;;
080511;0000;;0,301232;;
080512;0000;;0,321034;;
080513;0000;;0,318465;;
080514;0000;;;;
080515;0000;;0,223095;;
080516;0000;;0,233978;;
080517;0000;;0,212701;;
080518;0000;;0,1751;;
080519;0000;;0,200772;;
080520;0000;;0,227298;;
080521;0000;;0,132342;;
080522;0000;;0,271788;;
080523;0000;;0,129938;;
080524;0000;;0,272625;;
080525;0000;;0,210861;;
080526;0000;;0,204678;;
080527;0000;;0,185986;;
080528;0000;;0,266556;;
080529;0000;;0,312319;;
080530;0000;;0,328084;;
080531;0000;;0,310853;;
080601;0000;;0,393495;;
080602;0000;;0,406705;;
080603;0000;;0,218805;;
080604;0000;;0,253041;;
080605;0000;;0,173355;;
080606;0000;;0,212282;;
080607;0000;;0,201051;;
080608;0000;;0,143847;;
080609;0000;;0,22749;;
080610;0000;;0,196702;;
080611;0000;;0,217894;;
080612;0000;;;;
080613;0000;;;;
080614;0000;;;;
080615;0000;;0,165376;;
080616;0000;;0,140914;;
080617;0000;;0,133029;;
080618;0000;;;;
080619;0000;;0,126885;;
080620;0000;;0,150719;;
080621;0000;;0,134673;;
080622;0000;;0,19399;;
080623;0000;;0,126297;;
080624;0000;;0,109839;;
080625;0000;;0,123362;;
080626;0000;;0,103594;;
080627;0000;;;;
080628;0000;;;;
080629;0000;;;;
080630;0000;;;;
080701;0000;;0,111692;;
080702;0000;;0,154733;;
080703;0000;;0,133187;;
080704;0000;;0,0863062;;
080705;0000;;0,0438596;;
080706;0000;;0,0541293;;
080707;0000;;0,0462177;;
080708;0000;;0,0510503;;
080709;0000;;0,121815;;
080710;0000;;0,101153;;
080711;0000;;0,101585;;
080712;0000;;0,0438596;;
080713;0000;;0,0745155;;
080714;0000;;0,0882585;;
080715;0000;;0,146072;;
080716;0000;;0,0670123;;
080717;0000;;0,0583324;;
080718;0000;;0,0946271;;
080719;0000;;0,138647;;
080720;0000;;0,134887;;
080721;0000;;0,191762;;
080722;0000;;0,098729;;
080723;0000;;0,0825462;;
080724;0000;;0,0777905;;
080725;0000;;0,0650829;;
080726;0000;;0,0857619;;
080727;0000;;0,0654454;;
080728;0000;;0,0533856;;
080729;0000;;0,0644687;;
080730;0000;;0,123668;;
080731;0000;;0,102915;;
080801;0000;;0,0913615;;
080802;0000;;0,0758547;;
080803;0000;;;;
080804;0000;;0,0762291;;
080805;0000;;0,067441;;
080806;0000;;0,0644398;;
080807;0000;;0,0757167;;
080808;0000;;0,149421;;
080809;0000;;0,0981667;;
080810;0000;;0,0438596;;
080811;0000;;0,0629519;;
080812;0000;;0,0815899;;
080813;0000;;0,107902;;
080814;0000;;0,0986551;;
080815;0000;;0,050934;;
080816;0000;;0,0678332;;
080817;0000;;0,104655;;
080818;0000;;0,0865155;;
080819;0000;;0,0768737;;
080820;0000;;0,074051;;
080821;0000;;;;
080822;0000;;0,172173;;
080823;0000;;0,110046;;
080824;0000;;0,098097;;
080825;0000;;0,0721574;;
080826;0000;;0,0438596;;
080827;0000;;0,0695848;;
080828;0000;;0,0650829;;
080829;0000;;0,0936735;;
080830;0000;;0,0438596;;
080831;0000;;0,0627247;;
080901;0000;;0,0892941;;
080902;0000;;0,15257;;
080903;0000;;0,147851;;
080904;0000;;0,222024;;
080905;0000;;0,405898;;
080906;0000;;0,141898;;
080907;0000;;0,165931;;
080908;0000;;0,175317;;
080909;0000;;0,19932;;
080910;0000;;0,103822;;
080911;0000;;0,157317;;
080912;0000;;0,173155;;
080913;0000;;0,440447;;
080914;0000;;0,3075;;
080915;0000;;0,25494;;
080916;0000;;0,179803;;
