FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080103;0000;;8,36627;;
080104;0000;;10,3841;;
080105;0000;;8,33662;;
080106;0000;;4,28256;;
080107;0000;;3,78029;;
080108;0000;;5,61336;;
080109;0000;;7,1002;;
080110;0000;;5,35915;;
080111;0000;;6,78604;;
080112;0000;;3,95291;;
080113;0000;;4,10863;;
080114;0000;;3,23787;;
080115;0000;;7,83862;;
080116;0000;;10,0311;;
080117;0000;;7,35993;;
080118;0000;;8,79788;;
080119;0000;;9,29597;;
080120;0000;;4,27023;;
080121;0000;;7,66092;;
080122;0000;;8,43027;;
080123;0000;;14,87;;
080124;0000;;10,5454;;
080125;0000;;7,25088;;
080126;0000;;6,43173;;
080127;0000;;10,0138;;
080128;0000;;11,1949;;
080129;0000;;10,8991;;
080130;0000;;9,44763;;
080131;0000;;8,45343;;
080201;0000;;10,6401;;
080202;0000;;16,6368;;
080203;0000;;14,8752;;
080204;0000;;13,2075;;
080205;0000;;16,6896;;
080206;0000;;16,643;;
080207;0000;;17,3857;;
080208;0000;;12,6278;;
080209;0000;;15,3038;;
080210;0000;;18,1946;;
080211;0000;;12,0734;;
080212;0000;;12,0304;;
080213;0000;;13,3989;;
080214;0000;;12,3968;;
080215;0000;;15,0951;;
080216;0000;;13,0985;;
080217;0000;;;;
080218;0000;;;;
080219;0000;;17,1575;;
080220;0000;;15,6545;;
080221;0000;;12,5114;;
080222;0000;;15,4518;;
080223;0000;;14,672;;
080224;0000;;12,6672;;
080225;0000;;15,7232;;
080226;0000;;12,86;;
080227;0000;;6,8969;;
080228;0000;;5,28651;;
080229;0000;;5,31798;;
080301;0000;;11,3378;;
080302;0000;;;;
080303;0000;;17,6639;;
080304;0000;;;;
080305;0000;;10,7655;;
080306;0000;;14,5911;;
080307;0000;;12,9139;;
080308;0000;;8,72305;;
080309;0000;;11,5819;;
080310;0000;;;;
080311;0000;;16,045;;
080312;0000;;;;
080313;0000;;13,6217;;
080314;0000;;;;
080315;0000;;16,0811;;
080316;0000;;11,2764;;
080317;0000;;17,5336;;
080318;0000;;14,2401;;
080319;0000;;18,676;;
