FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080101;0000;;0,500574;;
080102;0000;;0,61136;;
080103;0000;;0,580834;;
080104;0000;;0,437433;;
080105;0000;;0,621305;;
080106;0000;;0,717362;;
080107;0000;;;;
080108;0000;;;;
080109;0000;;;;
080110;0000;;;;
080111;0000;;0,562215;;
080112;0000;;0,995672;;
080113;0000;;;;
080114;0000;;;;
080115;0000;;0,514647;;
080116;0000;;0,580028;;
080117;0000;;0,589828;;
080118;0000;;0,620272;;
080119;0000;;0,702011;;
080120;0000;;0,969096;;
080121;0000;;0,6422;;
080122;0000;;0,606504;;
080123;0000;;1,01836;;
080124;0000;;1,23837;;
080125;0000;;1,13155;;
080126;0000;;0,892266;;
080127;0000;;0,722838;;
080128;0000;;0,713393;;
080129;0000;;1,14137;;
080130;0000;;1,07193;;
080131;0000;;0,720128;;
080201;0000;;2,2557;;
080202;0000;;1,07079;;
080203;0000;;1,53406;;
080204;0000;;2,18454;;
080205;0000;;1,98384;;
080206;0000;;2,44888;;
080207;0000;;2,4095;;
080208;0000;;1,89003;;
080209;0000;;1,56715;;
080210;0000;;1,0962;;
080211;0000;;1,61947;;
080212;0000;;1,77558;;
080213;0000;;1,24355;;
080214;0000;;1,79791;;
080215;0000;;1,756;;
080216;0000;;1,89007;;
080217;0000;;;;
080218;0000;;;;
080219;0000;;1,76732;;
080220;0000;;1,32614;;
080221;0000;;1,47811;;
080222;0000;;1,53113;;
080223;0000;;2,04708;;
080224;0000;;1,64278;;
080225;0000;;1,4262;;
080226;0000;;2,26022;;
080227;0000;;;;
080228;0000;;;;
080229;0000;;1,03879;;
080301;0000;;1,99368;;
080302;0000;;2,45387;;
080303;0000;;2,58081;;
080304;0000;;1,92713;;
080305;0000;;2,4083;;
080306;0000;;1,70147;;
080307;0000;;2,11129;;
080308;0000;;1,61426;;
080309;0000;;1,33772;;
080310;0000;;2,21574;;
080311;0000;;1,67522;;
080312;0000;;2,42085;;
080313;0000;;2,13352;;
080314;0000;;2,20177;;
080315;0000;;;;
080316;0000;;;;
080317;0000;;2,04517;;
080318;0000;;1,83616;;
080319;0000;;1,14909;;
080320;0000;;2,0475;;
080321;0000;;2,30608;;
080322;0000;;1,53941;;
080323;0000;;1,88265;;
080324;0000;;2,77018;;
080325;0000;;2,30842;;
080326;0000;;1,66457;;
080327;0000;;1,4417;;
