FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080404;0000;;1,68583;;
080405;0000;;3,59586;;
080406;0000;;1,19484;;
080407;0000;;1,06763;;
080408;0000;;0,684339;;
080409;0000;;0,689646;;
080410;0000;;1,13026;;
080411;0000;;1,2229;;
080412;0000;;1,71765;;
080413;0000;;1,20003;;
080414;0000;;1,1508;;
080415;0000;;0,776398;;
080416;0000;;1,86934;;
080417;0000;;0,962736;;
080418;0000;;1,21886;;
080419;0000;;1,60066;;
080420;0000;;0,955021;;
080421;0000;;0,749729;;
080422;0000;;0,782948;;
080423;0000;;1,25558;;
080424;0000;;0,896172;;
080425;0000;;1,0385;;
080426;0000;;0,82311;;
080427;0000;;0,760999;;
080428;0000;;1,25739;;
080429;0000;;1,01573;;
080430;0000;;1,19392;;
080501;0000;;1,68067;;
080502;0000;;4,05051;;
080503;0000;;4,26706;;
080504;0000;;2,9081;;
080505;0000;;1,70222;;
080506;0000;;1,32107;;
080507;0000;;3,6346;;
080508;0000;;3,06819;;
080509;0000;;4,36294;;
080510;0000;;3,02454;;
080511;0000;;1,34361;;
080512;0000;;1,3093;;
080513;0000;;2,68699;;
080514;0000;;;;
080515;0000;;0,716124;;
080516;0000;;0,833172;;
080517;0000;;0,730923;;
080518;0000;;0,810911;;
080519;0000;;0,865453;;
080520;0000;;0,995008;;
080521;0000;;0,840866;;
080522;0000;;0,732446;;
080523;0000;;1,20843;;
080524;0000;;1,3201;;
080525;0000;;0,873697;;
080526;0000;;1,47267;;
080527;0000;;0,917951;;
080528;0000;;2,45281;;
080529;0000;;3,35097;;
080530;0000;;2,01043;;
080531;0000;;1,66818;;
080601;0000;;2,6357;;
080602;0000;;3,32635;;
080603;0000;;0,785757;;
080604;0000;;0,845704;;
080605;0000;;0,893832;;
080606;0000;;0,994256;;
080607;0000;;0,898773;;
080608;0000;;0,943172;;
080609;0000;;1,04571;;
080610;0000;;0,826927;;
080611;0000;;1,74208;;
080612;0000;;;;
080613;0000;;;;
080614;0000;;;;
080615;0000;;;;
080616;0000;;;;
080617;0000;;;;
080618;0000;;;;
080619;0000;;2,90104;;
080620;0000;;4,15865;;
080621;0000;;3,57119;;
080622;0000;;;;
080623;0000;;;;
080624;0000;;;;
080625;0000;;;;
080626;0000;;;;
080627;0000;;;;
080628;0000;;;;
080629;0000;;;;
080630;0000;;;;
080701;0000;;1,23656;;
080702;0000;;1,31985;;
080703;0000;;1,05341;;
080704;0000;;0,448177;;
080705;0000;;0,447947;;
080706;0000;;0,498598;;
080707;0000;;0,457452;;
080708;0000;;0,701833;;
080709;0000;;1,68851;;
080710;0000;;0,428091;;
080711;0000;;0,489352;;
080712;0000;;0,534422;;
080713;0000;;0,46947;;
080714;0000;;0,430143;;
080715;0000;;0,486206;;
080716;0000;;0,480659;;
080717;0000;;0,727777;;
080718;0000;;0,869767;;
080719;0000;;2,19418;;
080720;0000;;1,34831;;
080721;0000;;2,45232;;
080722;0000;;0,446572;;
080723;0000;;0,486369;;
080724;0000;;1,26466;;
080725;0000;;0,586366;;
080726;0000;;0,631124;;
080727;0000;;0,53114;;
080728;0000;;0,792247;;
080729;0000;;1,19325;;
080730;0000;;0,808392;;
080731;0000;;1,30128;;
080801;0000;;0,678681;;
080802;0000;;1,14455;;
080803;0000;;;;
080804;0000;;0,875526;;
080805;0000;;0,591768;;
080806;0000;;0,710676;;
080807;0000;;1,90233;;
080808;0000;;1,28031;;
080809;0000;;0,734551;;
080810;0000;;0,760248;;
080811;0000;;0,778931;;
080812;0000;;0,590315;;
080813;0000;;0,777367;;
080814;0000;;0,776739;;
080815;0000;;0,681664;;
080816;0000;;0,888883;;
080817;0000;;0,813129;;
080818;0000;;0,822941;;
080819;0000;;0,830481;;
080820;0000;;0,782907;;
080821;0000;;;;
080822;0000;;1,2666;;
080823;0000;;0,99919;;
080824;0000;;0,688437;;
080825;0000;;0,74204;;
080826;0000;;0,696361;;
080827;0000;;0,680815;;
080828;0000;;0,849552;;
080829;0000;;0,823715;;
080830;0000;;0,873256;;
080831;0000;;0,888348;;
080901;0000;;1,29126;;
080902;0000;;2,05204;;
080903;0000;;1,1238;;
080904;0000;;3,22584;;
080905;0000;;11,7854;;
080906;0000;;2,07536;;
080907;0000;;1,29766;;
080908;0000;;2,52126;;
080909;0000;;2,33616;;
080910;0000;;2,1442;;
080911;0000;;5,72102;;
080912;0000;;2,85001;;
080913;0000;;7,46798;;
080914;0000;;7,37903;;
080915;0000;;7,46373;;
080916;0000;;3,84081;;
080917;0000;;1,68583;;
080918;0000;;1,61329;;
080919;0000;;1,79538;;
080920;0000;;2,50892;;
080921;0000;;7,21266;;
080922;0000;;2,75066;;
080923;0000;;3,71418;;
080924;0000;;5,58669;;
080925;0000;;6,56374;;
080926;0000;;6,35323;;
