Cod_com,Region,Cod_reg,Comuna,Estacion
15101,Arica y Parinacota,15,Arica,Arica
1107,Tarapacá,1,Alto Hospicio,Alto_Hospicio
2101,Antofagasta,2,Antofagasta,Antofagasta
2101,Antofagasta,2,Antofagasta,Playa_Blanca
2101,Antofagasta,2,Antofagasta,Rendic
2101,Antofagasta,2,Antofagasta,Sur
2201,Antofagasta,2,Calama,Chiu_Chiu
2201,Antofagasta,2,Calama,Club_Deportivo_23_de_Marzo
2201,Antofagasta,2,Calama,Colegio_Pedro_Vergara_Keller
2201,Antofagasta,2,Calama,Centro
2201,Antofagasta,2,Calama,Hospital_El_Cobre
2201,Antofagasta,2,Calama,Nueva_Chiu_Chiu
2201,Antofagasta,2,Calama,Oasis
2201,Antofagasta,2,Calama,Servicio_Medico_Legal
2201,Antofagasta,2,Calama,Aukahuasi
2201,Antofagasta,2,Calama,San_Jose
2201,Antofagasta,2,Calama,Villa_Caspana
2302,Antofagasta,2,Maria Elena,Hospital
2302,Antofagasta,2,Maria Elena,Iglesia
2302,Antofagasta,2,Mejillones,Jardin_Infantil_Integra
2302,Antofagasta,2,Mejillones,Juan_Jose_Latorre
2302,Antofagasta,2,Mejillones,Compania_de_bomberos
2302,Antofagasta,2,Mejillones,Ferrocarriles
2103,Antofagasta,2,Sierra Gorda,Sierra Gorda
2104,Antofagasta,2,Taltal,Paposo
2104,Antofagasta,2,Taltal,Punto_de_maximo_impacto
2301,Antofagasta,2,Tocopilla,Bomberos
2301,Antofagasta,2,Tocopilla,Gobernacion
2301,Antofagasta,2,Tocopilla,Super_site
2301,Antofagasta,2,Tocopilla,Tres_marias
2301,Antofagasta,2,Tocopilla,Escuela_e10
2301,Antofagasta,2,Tocopilla,Centro
2301,Antofagasta,2,Tocopilla,Escuela_e12
2301,Antofagasta,2,Tocopilla,Escuela_Gabriela_Mistral
2301,Antofagasta,2,Tocopilla,Sur
3101,Atacama,3,Copiapó,Copiapo_sivica
3101,Atacama,3,Copiapó,Copiapo
3101,Atacama,3,Copiapó,Los_volcanes
3101,Atacama,3,Copiapó,Paipote
3101,Atacama,3,Copiapó,San_fernando
3202,Atacama,3,Diego de Almagro,Cap
3202,Atacama,3,Diego de Almagro,Cine_inca
3202,Atacama,3,Diego de Almagro,Dona_ines
3202,Atacama,3,Diego de Almagro,Intelec
3303,Atacama,3,Freirina,sm6
3303,Atacama,3,Freirina,sm7
3303,Atacama,3,Freirina,sm8
3304,Atacama,3,Huasco,huasco_sivica
3304,Atacama,3,Huasco,21_de_mayo
3304,Atacama,3,Huasco,eme_f
3304,Atacama,3,Huasco,eme_m
3304,Atacama,3,Huasco,eme_me
3304,Atacama,3,Huasco,huasco_ii
3304,Atacama,3,Huasco,sm1
3304,Atacama,3,Huasco,sm2
3304,Atacama,3,Huasco,sm3
3304,Atacama,3,Huasco,sm4
3304,Atacama,3,Huasco,sm5
