FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0100;;3,9;;
100101;0200;;4,5;;
100101;0300;;6,79999;;
100101;0400;;4,7;;
100101;0500;;4,5;;
100101;0600;;7,39999;;
100101;0700;;11,6;;
100101;0800;;9,1;;
100101;0900;;11,7;;
100101;1000;;16,2;;
100101;1100;;27,3;;
100101;1200;;27,8;;
100101;1300;;29,3;;
100101;1400;;28,2;;
100101;1500;;31,7;;
100101;1600;;29,1;;
100101;1700;;24,7;;
100101;1800;;26,2;;
100101;1900;;28,1;;
100101;2000;;20,6;;
100101;2100;;12,1;;
100101;2200;;13,2;;
100101;2300;;13;;
100102;0000;;10,7;;
100102;0100;;5,9;;
100102;0200;;3,8;;
100102;0300;;4;;
100102;0400;;0,699999;;
100102;0500;;2;;
100102;0600;;3,5;;
100102;0700;;6,19999;;
100102;0800;;13;;
100102;0900;;17,8;;
100102;1000;;19,3;;
100102;1100;;24,2;;
100102;1200;;38,3;;
100102;1300;;35,5;;
100102;1400;;31,6;;
100102;1500;;21,8;;
100102;1600;;0;;
100102;1700;;16,5;;
100102;1800;;27,8;;
100102;1900;;21,5;;
100102;2000;;18,4;;
100102;2100;;11,4;;
100102;2200;;10,5;;
100102;2300;;13,3;;
100103;0000;;21;;
100103;0100;;21,7;;
100103;0200;;24,8;;
100103;0300;;28,9;;
100103;0400;;29,7;;
100103;0500;;27,3;;
100103;0600;;29,1;;
100103;0700;;32,9;;
100103;0800;;40,1;;
100103;0900;;51,3;;
100103;1000;;49,5;;
100103;1100;;43,3;;
100103;1200;;62,5;;
100103;1300;;62,3;;
100103;1400;;;;
100103;1500;;;;
100103;1600;;31,6;;
100103;1700;;55,3999;;
100103;1800;;50,4;;
100103;1900;;47,6;;
100103;2000;;45,2;;
100103;2100;;43,4;;
100103;2200;;37,4;;
100103;2300;;38;;
100104;0000;;21,9;;
100104;0100;;25,6;;
100104;0200;;20;;
100104;0300;;12,4;;
100104;0400;;17,9;;
100104;0500;;17,5;;
100104;0600;;17,1;;
100104;0700;;19,5;;
100104;0800;;26,7;;
100104;0900;;34,5;;
100104;1000;;41,9;;
100104;1100;;35,8;;
100104;1200;;37,7;;
100104;1300;;43,8999;;
100104;1400;;45;;
100104;1500;;35,4;;
100104;1600;;20,3;;
100104;1700;;11,7;;
100104;1800;;15,8;;
100104;1900;;12,6;;
100104;2000;;12;;
100104;2100;;6,79999;;
100104;2200;;7,9;;
100104;2300;;7,19999;;
100105;0000;;8,1;;
100105;0100;;14,1;;
100105;0200;;9,79999;;
100105;0300;;29;;
100105;0400;;66,7;;
100105;0500;;61,7999;;
100105;0600;;20,9;;
100105;0700;;20,2;;
100105;0800;;30,7;;
100105;0900;;0;;
100105;1000;;7,79999;;
100105;1100;;40,6;;
100105;1200;;39,8;;
100105;1300;;48,5;;
100105;1400;;45,0999;;
100105;1500;;34;;
100105;1600;;36,4;;
100105;1700;;35,9;;
100105;1800;;32,3;;
100105;1900;;25,9;;
100105;2000;;23,1;;
100105;2100;;12,1;;
100105;2200;;10,2;;
100105;2300;;60,0999;;
100106;0000;;41;;
100106;0100;;33;;
100106;0200;;63,4;;
100106;0300;;38,1;;
100106;0400;;11,9;;
100106;0500;;14,3;;
100106;0600;;11,6;;
100106;0700;;34,6;;
100106;0800;;46,0999;;
100106;0900;;44,4999;;
100106;1000;;46,9;;
100106;1100;;38,7;;
100106;1200;;45,6;;
100106;1300;;41;;
100106;1400;;44,1;;
100106;1500;;49,1;;
100106;1600;;42,5999;;
100106;1700;;35,3;;
100106;1800;;44,9;;
100106;1900;;42,5;;
100106;2000;;48,4;;
100106;2100;;35;;
100106;2200;;19,6;;
100106;2300;;9,39999;;
100107;0000;;22,1;;
100107;0100;;29,5;;
100107;0200;;35;;
100107;0300;;28,9;;
100107;0400;;26,9;;
100107;0500;;25,4;;
100107;0600;;27,1;;
100107;0700;;29,5;;
100107;0800;;58,1;;
100107;0900;;68;;
100107;1000;;64,7;;
100107;1100;;69;;
100107;1200;;69,6;;
100107;1300;;74,4;;
100107;1400;;77,0999;;
100107;1500;;78,9;;
100107;1600;;;;
100107;1700;;;;
100107;1800;;10,5;;
100107;1900;;35,9;;
100107;2000;;34,4;;
100107;2100;;33,3;;
100107;2200;;30,7;;
100107;2300;;19,6;;
100108;0000;;23,9;;
100108;0100;;24,1;;
100108;0200;;24,6;;
100108;0300;;25,4;;
100108;0400;;23,8;;
100108;0500;;26,3;;
